track_name,track_id,album_name,album_id,artist_name,artist_id,track_popularity,explicit,track_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Don't Wanna Fall In Love,1vCBbeAhNTuMjvbPmi4eRW,Smyle (Extended),5JnisxwKoLWHsnorYrmOWO,KYLE,4qBgvVog0wzW75IQ48mU7v,0,True,https://open.spotify.com/track/1vCBbeAhNTuMjvbPmi4eRW,0.486,0.616,0,-6.9,1,0.277,0.0149,0,0.356,0.601,132.151
Feel No Ways,3cjF2OFRmip8spwZYQRKxP,Views,40GMAhriYJRO1rsY4YdrZb,Drake,3TVXtAsR1Inumwj472S9r4,69,True,https://open.spotify.com/track/3cjF2OFRmip8spwZYQRKxP,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818
Done from the Start,0DpCrXFRwEYVl8dmlj4fzr,Done from the Start,5d9munv2ZnZvAmuGacJTik,Christian French,7naAJDAh7AZnf18YYfQruM,29,True,https://open.spotify.com/track/0DpCrXFRwEYVl8dmlj4fzr,0.726,0.524,7,-4.257,1,0.104,0.326,0,0.171,0.5,95.028
Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,Know Your Worth,0uLz2ygHQAtLknyGasJOr5,Khalid,6LuN9FCkKOj5PcnpouEgny,61,False,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf,0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007
we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october / forget her,4oRcMHsdNG9IAF3xwv1kWu,girl in red,3uwAm6vQy7kWPS2bciKWx9,19,False,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959
Don't Call Me,3NL4zRziLlc3Klv9sNNF2F,Don't Call Me,0SlmGdzT20Qjbq3C0cZSz6,Mighloe,44obblyrd8EsnfeDkJpiov,4,True,https://open.spotify.com/track/3NL4zRziLlc3Klv9sNNF2F,0.577,0.282,10,-10.85,0,0.0836,0.835,0.000751,0.147,0.305,144.46
Over,7nsbjMmpZ25xKoezhsfF6c,Over,5fumJzv60RdUfCety5IHe5,Andi,7fEXIS5LgSLbCdzTePqe0V,35,True,https://open.spotify.com/track/7nsbjMmpZ25xKoezhsfF6c,0.522,0.531,10,-6.459,0,0.215,0.093,0,0.43,0.149,94.225
You Belong To Somebody Else,20R40KmQrdwKES14PmDwaf,You Belong To Somebody Else,0KFJcWV5MW76YWSfKS83rW,PJ Harding,1RryIbDjpwt00AKkSpCGvP,39,False,https://open.spotify.com/track/20R40KmQrdwKES14PmDwaf,0.701,0.39,5,-8.235,1,0.032,0.732,0,0.107,0.457,119.956
HOW DO YOU HOLD WHAT HURTS,5n32lvqZjFkqUczA5zclaF,HOW DO YOU HOLD WHAT HURTS,0sqm5pSfXgsewthKh02L8S,morgxn,034u8Qcs47NHkRQXaWkLXW,0,False,https://open.spotify.com/track/5n32lvqZjFkqUczA5zclaF,0.411,0.367,3,-8.444,1,0.0438,0.846,8.17e-05,0.103,0.492,119.416
"Your loss, babe.",2CarQ6xMenFS3izEZQrfui,"Your loss, babe.",4Gem09kn7Cs67KCqqowDrK,Madi Wolf,4a6u1L4qzToy2seYk3w3qa,14,True,https://open.spotify.com/track/2CarQ6xMenFS3izEZQrfui,0.723,0.566,9,-8.043,0,0.0825,0.164,0.000517,0.125,0.404,95.022
Heartless,4EWCNWgDS8707fNSZ1oaA5,808s & Heartbreak,3WFTGIO6E3Xh4paEOBY9OU,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,81,False,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999
Work It Out,1HLV1pRePbUeApe2NRSQKn,Cory Hotline,7j2AJWz2KsFAHaAJETJIOp,Cory Hotline,0oUznVnbuPvMieqKMMsjtc,16,False,https://open.spotify.com/track/1HLV1pRePbUeApe2NRSQKn,0.754,0.737,9,-5.404,0,0.0397,0.115,1.86e-06,0.209,0.693,116.004
Love Goes (feat. Labrinth),5aRlRDvXRuP81qEzKTXQvM,Love Goes,5XCBX16KNYsAe7V5hQV9mC,Sam Smith,2wY79sveU1sp5g7SokKOiI,48,False,https://open.spotify.com/track/5aRlRDvXRuP81qEzKTXQvM,0.459,0.232,0,-12.434,1,0.0768,0.812,0.0582,0.154,0.204,145.137
For The Lover That I Lost,6VbtCWsziqN8SW3ULogYrM,Love Goes,5XCBX16KNYsAe7V5hQV9mC,Sam Smith,2wY79sveU1sp5g7SokKOiI,40,False,https://open.spotify.com/track/6VbtCWsziqN8SW3ULogYrM,0.494,0.291,4,-8.441,1,0.0367,0.815,0,0.127,0.413,136.99
Arcade,1J14CdDAvBTE1AJYUOwl6C,Small Town Boy (Track By Track),4fEgAL4ge9hHhxVDCUZbeF,Duncan Laurence,3klZnJvYGIbWritVwQD434,71,False,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017
Moral of the Story,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,4yKwChgdGpJzf2nn3nPHfP,Ashe,6P5NO5hzJbuOqSdyPB7SJM,67,True,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812
I Can't Handle Change,0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,42vd9Cgr89pjb0Jipvaj5d,Roar,7dIpKWlEeAljA20vFJ82RD,45,False,https://open.spotify.com/track/0I1eFRytp4XRhLCjT6tZm7,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711
Oh No!,4sNwdacKyi2S26WrRtNama,The Family Jewels,1CtDa7pVfLF4u2ZadRTWz7,MARINA,6CwfuxIqcltXDGjfZsMd9A,67,False,https://open.spotify.com/track/4sNwdacKyi2S26WrRtNama,0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999
Fuqboi,2C3dOmuQnOb28WVPvIToWQ,From The Outside,6ZZbMKUghvClcRLF5pZT6Y,Hey Violet,4JNfz6aO9ZFz0gp5GY88am,34,True,https://open.spotify.com/track/2C3dOmuQnOb28WVPvIToWQ,0.476,0.695,2,-6.837,1,0.163,0.0401,0,0.0682,0.615,200.167
All These Years,4XLu3tTSZiPFVC9mmuR6Zp,Camila,2vD3zSQr8hNlg0obNel4TE,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,48,False,https://open.spotify.com/track/4XLu3tTSZiPFVC9mmuR6Zp,0.732,0.436,1,-7.409,0,0.117,0.609,0,0.108,0.475,94.852
Boys Will Be Bugs,6suYoN4gFkanqOBn5yRnJC,Animal Kingdom,40MJoESOQ4BDr5Y6jY7cFa,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,63,True,https://open.spotify.com/track/6suYoN4gFkanqOBn5yRnJC,0.486,0.528,1,-11.722,1,0.0463,0.00387,1.4e-05,0.106,0.452,178.519
Break My Heart,1raaNykBg1bDnWENUiglUA,Break My Heart,368tzVdeju4vLSY8PHnQUs,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,57,False,https://open.spotify.com/track/1raaNykBg1bDnWENUiglUA,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012
Figure 8,65LYxR6Id1nc8nGSOEnunI,Halcyon,4754Cgv1sdfwTpdVX83xAC,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,30,False,https://open.spotify.com/track/65LYxR6Id1nc8nGSOEnunI,0.383,0.781,7,-4.416,0,0.0519,0.0348,0,0.109,0.189,147.904
Just Don't Tell Me That,17dTKVZ8d5TffKwZLjUakF,Celebrity,7gfXFkA259SkaFeJxSFtKE,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,29,False,https://open.spotify.com/track/17dTKVZ8d5TffKwZLjUakF,0.656,0.902,10,-5.118,0,0.0721,0.0196,0.000292,0.0429,0.75,89.008
Air,7eKbFpX6jvCSW9CUwzMJsE,Handwritten,6sUOosXuYt0oUeczJRbedZ,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,35,False,https://open.spotify.com/track/7eKbFpX6jvCSW9CUwzMJsE,0.758,0.501,0,-7.051,1,0.0589,0.252,0,0.191,0.397,78.048
Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,hopeless fountain kingdom (Deluxe),7GjG91tyHQNGEHzKJaqOi0,Halsey,26VFTg2z8YR0cCuwLzESi2,61,False,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl,0.675,0.751,0,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384
Before You Go,7ce20yLkzuXXLUhzIDoZih,Before You Go,0488X5veBK6t3vSmIiTDJY,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,65,False,https://open.spotify.com/track/7ce20yLkzuXXLUhzIDoZih,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881
Crush Culture,2sHwSBNDZN2yjCtgwStYt1,Sunset Season,16pubXUlqRziVWRsT6lLNz,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,59,False,https://open.spotify.com/track/2sHwSBNDZN2yjCtgwStYt1,0.522,0.765,0,-5.395,1,0.193,0.146,0,0.0866,0.455,180.065
Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,Only Human (Deluxe),6Vip5A5NmEazvKuxj6GLYf,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,75,False,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672
Didn't I,6ikDZX0oc8EKGj2vdMAEDv,Didn't I,02ATSOBqF7ddYG1248wCgH,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,48,False,https://open.spotify.com/track/6ikDZX0oc8EKGj2vdMAEDv,0.606,0.613,4,-6.758,1,0.0306,0.0182,0,0.125,0.258,123.943
High Heels.,3CwY9duCa29ye9TDno8mXT,Mad Love. (Deluxe),03B7yRw8C4i7Vuxxjy8RJw,JoJo,5xuNBZoM7z1Vv8IQ6uM0p6,43,True,https://open.spotify.com/track/3CwY9duCa29ye9TDno8mXT,0.455,0.719,8,-5.03,1,0.169,0.00312,3.58e-05,0.165,0.637,179.89
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,72,False,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958
Hold On,5vjLSffimiIP26QG5WcN2K,Hold On,2EfmyRWheMtmVTCIsptsLi,Chord Overstreet,5D3muNJhYYunbRkh3FKgX0,74,False,https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949
Hold On (The Break),6NctTqBGDHouJIBvZ1Da1w,Sing It All Away,0znuTvl59JCTczo6F0NLEV,Walk off the Earth,6jEiUoyyJNPHzSR0Nib6HX,37,False,https://open.spotify.com/track/6NctTqBGDHouJIBvZ1Da1w,0.473,0.715,2,-5.451,1,0.0432,0.335,0,0.126,0.514,176.094
How Long,4AjKVyNUMdUveKK5OH1OJD,Five-A-Side,5hC1ciYNtewV8gncsKHt1F,Ace,5zWjD9ZjC2Lo0BB1M9gSC4,2,False,https://open.spotify.com/track/4AjKVyNUMdUveKK5OH1OJD,0.717,0.406,0,-13.954,0,0.0305,0.587,0.103,0.0869,0.703,123.213
I Don't Need A Man,1OakwmqlAsweeecdYGqkXO,PCD (Revised International Version),0ylxpXE00fVxh6d60tevT8,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,0,False,https://open.spotify.com/track/1OakwmqlAsweeecdYGqkXO,0.77,0.954,10,-3.898,1,0.0436,0.048,5.3e-05,0.0691,0.743,105.838
I Don't Want You Back,38nKfxyRrjYfx0ODX1W5yB,Hopeful,2HkUMYp8oYG62y7qKK2olM,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,47,False,https://open.spotify.com/track/38nKfxyRrjYfx0ODX1W5yB,0.613,0.347,5,-6.486,1,0.034,0.591,0,0.0959,0.25,109.764
If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),7BrlhEO8dHiNmU8A1Ep9RZ,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,70,False,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801
If You Want Love,3i5qVV8azKqGFK4Gzdt5YS,Perception,1KOmHyNLuOe5YrPhD3Juuf,NF,6fOMl44jA4Sp5b9PpYCkzz,67,False,https://open.spotify.com/track/3i5qVV8azKqGFK4Gzdt5YS,0.552,0.386,0,-10.22,1,0.13,0.659,0,0.125,0.243,116.205
I Hate Everything About You,6rUp7v3l8yC4TKxAAR5Bmx,Three Days Grace (Expanded Edition),38pfSOHvxHqDWwDnjZ25U5,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,66,False,https://open.spotify.com/track/6rUp7v3l8yC4TKxAAR5Bmx,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342
